PlateID: ,CAS001,,,,,,
LenseUsed: ,MV65051B - 117 mm,,,,,,
,,,,,,,
Species,Age,MalaiseDate,SpecimenCode/Filename,Ventral,Dorsal,Lateral(left),Lateral(right)
Peribaea tibialis,2022,06May2022,CAS0000001,0,1,1,0
Dexia rustica,2022,03Nov2022,CAS0000002,1,0,1,0
Oswaldia muscaria,2022,04Jul2022,CAS0000003,1,0,1,0
Siphona pauciseta,2022,06May2022,CAS0000004,1,1,1,1
Dexia rustica,2022,20May2022,CAS0000005,0,1,1,1
Carcelia falenaria,2022,21Dec2022,CAS0000006,1,1,1,1
Carcelia falenaria,2022,03Nov2022,CAS0000007,1,0,1,0
Dexia rustica,2022,04Jun2022,CAS0000008,1,1,0,1
Dexia rustica,2022,21Jun2022,CAS0000009,0,1,0,1
Peribaea tibialis,2022,24Apr2022,CAS0000010,1,0,1,0
Trixion aberrans,2022,12Jul2022,CAS0000011,1,1,1,0
Loewia piligena,2022,04Jun2022,CAS0000012,1,1,1,1
Peribaea tibialis,2022,04Jun2022,CAS0000013,1,1,1,1
Trixion aberrans,2022,01Sep2022,CAS0000014,1,1,1,1
Linnaemya lithosiophaga,2022,03Nov2022,CAS0000015,1,1,1,1
Carcelia falenaria,2022,04Jun2022,CAS0000016,1,1,1,0
Meigenia mutabilis-group,2022,23Nov2022,CAS0000017,0,1,1,0
Siphona geniculata,2022,20May2022,CAS0000018,1,0,1,0
Cylindromyia rubida,2022,28Jul2022,CAS0000019,0,0,1,1
Compsilura concinnata,2022,06May2022,CAS0000020,0,0,1,1
Carcelia falenaria,2022,03Nov2022,CAS0000021,1,0,0,1
Exorista rustica,2022,04Jun2022,CAS0000022,0,0,1,1
Billea maritima,2022,15Sep2022,CAS0000023,1,0,1,0
Carcelia falenaria,2022,26Apr2022,CAS0000024,1,1,1,0
Wagneria gagatea,2022,26Apr2022,CAS0000025,1,0,1,0
Leucostoma crassum,2022,04Jun2022,CAS0000026,1,1,1,0
Phebellia pauciseta,2022,06May2022,CAS0000027,0,0,1,1
Dexia rustica,2022,15Sep2022,CAS0000028,0,1,1,1
Cylindromyia rubida,2022,26Jun2022,CAS0000029,1,1,1,0
Trixion aberrans,2022,01Sep2022,CAS0000030,1,0,1,1
Siphona pauciseta,2022,20May2022,CAS0000031,1,0,0,1
Mintho rufiventris,2022,01Sep2022,CAS0000032,1,0,1,1
Macquartia dispar,2022,03Nov2022,CAS0000033,2,1,1,0
Macquartia dispar,2022,03Nov2022,CAS0000034,1,0,1,0
Dexia rustica,2022,15Sep2022,CAS0000035,0,0,1,1
Cylindromyia brassicaria,2022,04Jun2022,CAS0000036,0,0,1,1
