PlateID: ,CAS002,,,,,,
LenseUsed: ,MV65051B - 117 mm,,,,,,
,,,,,,,
Species,Age,DataMalaise,SpecimenCode/Filename,Ventral,Dorsal,Lateral(left),Lateral(right)
Siphona sp.,2022,28Jun2022,CAS0000096,0,1,0,1
Siphona pauciseta,2022,28Jun2022,CAS0000097,0,1,1,0
Gymnosoma sp.,2022,28Jun2022,CAS0000098,0,0,1,1
Gymnosoma sp.,2022,28Jun2022,CAS0000099,0,0,1,1
Leucostoma simplex,2022,28Jul2022,CAS0000100,1,0,1,0
Peribaea tibialis,2022,05Aug2022,CAS0000101,1,0,0,1
Microsoma exiguum,2022,26Jun2022,CAS0000102,1,0,1,0
Microsoma exiguum,2022,26Jun2022,CAS0000103,1,1,0,0
Microsoma exiguum,2022,26Jun2022,CAS0000104,0,1,1,0
Siphona pauciseta,2022,03Nov2022,CAS0000105,1,0,1,0
Siphona pauciseta,2022,03Nov2022,CAS0000106,1,0,0,1
Siphona pauciseta,2022,03Nov2022,CAS0000107,1,0,1,0
Siphona pauciseta,2022,03Nov2022,CAS0000108,0,0,1,1
Siphona pauciseta,2022,03Nov2022,CAS0000109,0,0,1,1
Siphona pauciseta,2022,03Nov2022,CAS0000110,0,0,1,1
Siphona pauciseta,2022,03Nov2022,CAS0000111,0,0,1,1
Siphona pauciseta,2022,03Nov2022,CAS0000112,1,0,1,0
Siphona pauciseta,2022,03Nov2022,CAS0000113,1,0,1,0
Siphona pauciseta,2022,03Nov2022,CAS0000114,1,0,1,0
Siphona pauciseta,2022,03Nov2022,CAS0000115,1,0,1,0
Siphona pauciseta,2022,03Nov2022,CAS0000116,1,0,1,0
Siphona pauciseta,2022,03Nov2022,CAS0000117,1,0,1,0
Siphona pauciseta,2022,03Nov2022,CAS0000118,1,0,1,0
Siphona pauciseta,2022,03Nov2022,CAS0000119,1,0,1,0
Siphona pauciseta,2022,03Nov2022,CAS0000120,0,0,1,1
Siphona pauciseta,2022,03Nov2022,CAS0000121,1,0,1,0
Siphona pauciseta,2022,03Nov2022,CAS0000122,0,1,1,0
Siphona pauciseta,2022,03Nov2022,CAS0000123,0,0,1,1
Siphona pauciseta,2022,03Nov2022,CAS0000124,0,1,1,0
Siphona pauciseta,2022,03Nov2022,CAS0000125,0,1,1,0
Siphona pauciseta,2022,03Nov2022,CAS0000126,1,0,1,0
Siphona pauciseta,2022,03Nov2022,CAS0000127,1,0,0,1
Siphona pauciseta,2022,03Nov2022,CAS0000128,1,0,1,0
Siphona pauciseta,2022,03Nov2022,CAS0000129,0,0,1,1
Siphona pauciseta,2022,03Nov2022,CAS0000130,0,0,1,1
Siphona pauciseta,2022,03Nov2022,CAS0000131,0,1,1,0
Catharosia pygmaea,2022,18Aug2022,CAS0000132,0,0,1,1
Peribaea tibialis,2022,23Nov2022,CAS0000133,0,0,1,1
Trixion aberrans,2022,05Aug2022,CAS0000134,0,0,1,1
Microsoma exiguum,2022,20May2022,CAS0000135,1,0,0,1
Clausicella suturata,2022,28Jun2022,CAS0000136,1,0,1,0
Trixion aberrans,2022,06Jul2022,CAS0000137,1,0,1,0
,2022,06Jul2022,CAS0000138,1,0,1,0
,2022,21Jul2022,CAS0000139,1,0,1,0
Meigenia mutabilis-group,2022,21Jul2022,CAS0000140,1,0,1,0
Clausicella suturata,2022,21Jul2022,CAS0000141,1,0,1,0
Clausicella suturata,2022,05Aug2022,CAS0000142,0,1,0,1
Clausicella suturata,2022,05Aug2022,CAS0000143,1,0,1,0
Clausicella suturata,2022,05Aug2022,CAS0000144,1,0,0,1
Clausicella suturata,2022,05Aug2022,CAS0000145,0,1,1,0
Clausicella suturata,2022,05Aug2022,CAS0000146,0,0,1,1
Clausicella suturata,2022,05Aug2022,CAS0000147,0,0,1,1
Clausicella suturata,2022,05Aug2022,CAS0000148,1,0,1,0
Clausicella suturata,2022,05Aug2022,CAS0000149,1,0,0,1
,2022,10Aug2022,CAS0000150,1,1,0,0
Trixion aberrans,2022,18Aug2022,CAS0000151,0,0,1,1
Peribaea tibialis,2022,26Jun2022,CAS0000152,1,0,1,0
Phytomyptera cingulata,2022,26Jun2022,CAS0000153,1,0,1,0
Phytomyptera sp.,2022,05Aug2022,CAS0000154,0,0,1,1
Loewia submetallica,2022,05Aug2022,CAS0000155,0,0,1,1
Gastrolepta anthracina,2022,05Aug2022,CAS0000156,0,0,1,1
Clausicella suturata,2022,10Aug2022,CAS0000157,0,0,1,1
Peribaea tibialis,2022,10Aug2022,CAS0000158,1,0,1,0
Clausicella suturata,2022,10Aug2022,CAS0000159,0,0,1,1
Clausicella suturata,2022,10Aug2022,CAS0000160,1,0,1,0
Clausicella suturata,2022,10Aug2022,CAS0000161,0,0,1,1
Clausicella suturata,2022,10Aug2022,CAS0000162,1,0,1,0
Clausicella suturata,2022,10Aug2022,CAS0000163,0,0,1,1
Clausicella suturata,2022,10Aug2022,CAS0000164,0,0,1,1
Clausicella suturata,2022,10Aug2022,CAS0000165,0,0,1,1
Clausicella suturata,2022,10Aug2022,CAS0000166,0,1,1,1
Clausicella suturata,2022,10Aug2022,CAS0000167,1,1,1,1
Clausicella suturata,2022,10Aug2022,CAS0000168,0,0,1,1
Clausicella suturata,2022,10Aug2022,CAS0000169,0,0,1,1
Clausicella suturata,2022,10Aug2022,CAS0000170,1,0,1,0
Clausicella suturata,2022,10Aug2022,CAS0000171,1,1,0,0
Clausicella suturata,2022,10Aug2022,CAS0000172,0,0,1,1
Clausicella suturata,2022,10Aug2022,CAS0000173,0,0,1,1
Clausicella suturata,2022,10Aug2022,CAS0000174,0,0,1,1
Clausicella suturata,2022,10Aug2022,CAS0000175,0,1,1,0
Clausicella suturata,2022,10Aug2022,CAS0000176,0,0,1,1
Clausicella suturata,2022,10Aug2022,CAS0000177,0,0,1,1
Clausicella suturata,2022,10Aug2022,CAS0000178,0,1,1,0
Clausicella suturata,2022,10Aug2022,CAS0000179,0,0,1,1
Clausicella suturata,2022,10Aug2022,CAS0000180,0,0,1,1
Clausicella suturata,2022,10Aug2022,CAS0000181,0,0,1,1
Meigenia mutabilis-group,2022,03Nov2022,CAS0000182,1,1,0,0
Peribaea tibialis,2022,03Nov2022,CAS0000183,0,1,1,0
Meigenia mutabilis-group,2022,03Nov2022,CAS0000184,1,0,1,0
Clausicella suturata,2022,18Aug2022,CAS0000185,0,0,1,1
Clausicella suturata,2022,18Aug2022,CAS0000186,0,0,1,1
Clausicella suturata,2022,18Aug2022,CAS0000187,0,0,1,1
Clausicella suturata,2022,18Aug2022,CAS0000188,0,0,1,1
Clausicella suturata,2022,18Aug2022,CAS0000189,1,0,0,1
Clausicella suturata,2022,18Aug2022,CAS0000190,0,0,1,1
