Species,Age,MalaiseDate,SpecimenCode/Filename,Ventral,Dorsal,Lateral(left),Lateral(right)
Peribaea tibialis,2022,06May2022,CAS0000001,0.0,1.0,1.0,0.0
Dexia rustica,2022,03Nov2022,CAS0000002,1.0,0.0,1.0,0.0
Oswaldia muscaria,2022,04Jul2022,CAS0000003,1.0,0.0,1.0,0.0
Siphona pauciseta,2022,06May2022,CAS0000004,1.0,1.0,1.0,1.0
Dexia rustica,2022,20May2022,CAS0000005,0.0,1.0,1.0,1.0
Carcelia falenaria,2022,21Dec2022,CAS0000006,1.0,1.0,1.0,1.0
Carcelia falenaria,2022,03Nov2022,CAS0000007,1.0,0.0,1.0,0.0
Dexia rustica,2022,04Jun2022,CAS0000008,1.0,1.0,0.0,1.0
Dexia rustica,2022,21Jun2022,CAS0000009,0.0,1.0,0.0,1.0
Peribaea tibialis,2022,24Apr2022,CAS0000010,1.0,0.0,1.0,0.0
Trixion aberrans,2022,12Jul2022,CAS0000011,1.0,1.0,1.0,0.0
Loewia piligena,2022,04Jun2022,CAS0000012,1.0,1.0,1.0,1.0
Peribaea tibialis,2022,04Jun2022,CAS0000013,1.0,1.0,1.0,1.0
Trixion aberrans,2022,01Sep2022,CAS0000014,1.0,1.0,1.0,1.0
Linnaemya lithosiophaga,2022,03Nov2022,CAS0000015,1.0,1.0,1.0,1.0
Carcelia falenaria,2022,04Jun2022,CAS0000016,1.0,1.0,1.0,0.0
Meigenia mutabilis-group,2022,23Nov2022,CAS0000017,0.0,1.0,1.0,0.0
Siphona geniculata,2022,20May2022,CAS0000018,1.0,0.0,1.0,0.0
Cylindromyia rubida,2022,28Jul2022,CAS0000019,0.0,0.0,1.0,1.0
Compsilura concinnata,2022,06May2022,CAS0000020,0.0,0.0,1.0,1.0
Carcelia falenaria,2022,03Nov2022,CAS0000021,1.0,0.0,0.0,1.0
Exorista rustica,2022,04Jun2022,CAS0000022,0.0,0.0,1.0,1.0
Billea maritima,2022,15Sep2022,CAS0000023,1.0,0.0,1.0,0.0
Carcelia falenaria,2022,26Apr2022,CAS0000024,1.0,1.0,1.0,0.0
Wagneria gagatea,2022,26Apr2022,CAS0000025,1.0,0.0,1.0,0.0
Leucostoma crassum,2022,04Jun2022,CAS0000026,1.0,1.0,1.0,0.0
Phebellia pauciseta,2022,06May2022,CAS0000027,0.0,0.0,1.0,1.0
Dexia rustica,2022,15Sep2022,CAS0000028,0.0,1.0,1.0,1.0
Cylindromyia rubida,2022,26Jun2022,CAS0000029,1.0,1.0,1.0,0.0
Trixion aberrans,2022,01Sep2022,CAS0000030,1.0,0.0,1.0,1.0
Siphona pauciseta,2022,20May2022,CAS0000031,1.0,0.0,0.0,1.0
Mintho rufiventris,2022,01Sep2022,CAS0000032,1.0,0.0,1.0,1.0
Macquartia dispar,2022,03Nov2022,CAS0000033,2.0,1.0,1.0,0.0
Macquartia dispar,2022,03Nov2022,CAS0000034,1.0,0.0,1.0,0.0
Dexia rustica,2022,15Sep2022,CAS0000035,0.0,0.0,1.0,1.0
Cylindromyia brassicaria,2022,04Jun2022,CAS0000036,0.0,0.0,1.0,1.0
Mintho compressa,2022,12Jul2022,CAS0000037,0.0,0.0,1.0,1.0
Trixion aberrans,2022,06Jul2022,CAS0000038,1.0,0.0,1.0,0.0
Dexia rustica,2022,21Jun2022,CAS0000039,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,03Nov2022,CAS0000040,0.0,0.0,1.0,1.0
Macquartia tessellum,2022,04Jun2022,CAS0000041,0.0,0.0,1.0,1.0
Clausicella suturata,2022,03Nov2022,CAS0000042,0.0,0.0,1.0,1.0
Dexia rustica,2022,06Jul2022,CAS0000043,0.0,0.0,1.0,1.0
Peribaea tibialis,2022,06May2022,CAS0000044,1.0,0.0,0.0,1.0
Peribaea tibialis,2022,21Jul2022,CAS0000045,1.0,0.0,1.0,0.0
Stomina caliendrata,2022,27Sep2022,CAS0000046,1.0,0.0,1.0,0.0
Voria ruralis,2022,03Nov2022,CAS0000047,0.0,0.0,1.0,1.0
Macquartia tessellum,2022,06May2022,CAS0000048,1.0,0.0,0.0,1.0
Voria ruralis,2022,23Nov2022,CAS0000049,1.0,0.0,1.0,0.0
Leucostoma abbreviatum,2022,28Jul2022,CAS0000050,1.0,0.0,0.0,1.0
Cylindromyia bicolor,2022,04Jun2022,CAS0000051,0.0,0.0,1.0,1.0
Stomina caliendrata,2022,15Sep2022,CAS0000052,0.0,1.0,0.0,1.0
,2022,03Nov2022,CAS0000053,0.0,0.0,1.0,1.0
Triarthria setipennis,2022,03Nov2022,CAS0000054,1.0,0.0,0.0,1.0
Prooppia nigripalpis,2022,04Jun2022,CAS0000055,1.0,0.0,1.0,0.0
Pales processioneae,2022,03Nov2022,CAS0000056,0.0,1.0,1.0,0.0
Leucostoma simplex,2022,27Sep2022,CAS0000057,0.0,1.0,0.0,1.0
Triartria setipennis,2022,27Sep2022,CAS0000058,1.0,0.0,0.0,1.0
Voria ruralis,2022,26May2022,CAS0000059,1.0,0.0,0.0,1.0
Oswaldia muscaria,2022,04Jul2022,CAS0000060,1.0,0.0,0.0,1.0
Oswaldia muscaria,2022,04Jul2022,CAS0000061,1.0,0.0,0.0,1.0
Oswaldia muscaria,2022,04Jul2022,CAS0000062,0.0,0.0,1.0,1.0
,2022,04Jul2022,CAS0000063,1.0,0.0,0.0,1.0
Dexia rustica,2022,21Jun2022,CAS0000064,1.0,0.0,0.0,1.0
Oswaldia muscaria,2022,21Jun2022,CAS0000065,1.0,0.0,1.0,0.0
Compsilura concinnata,2022,26Jun2022,CAS0000066,1.0,0.0,0.0,1.0
Compsilura concinnata,2022,26Jun2022,CAS0000067,1.0,0.0,0.0,1.0
Exorista rustica-group,2022,20May2022,CAS0000068,0.0,0.0,1.0,1.0
Leskia aurea,2022,4Jun2022,CAS0000069,1.0,0.0,0.0,1.0
Tachina fera,2022,03Nov2022,CAS0000070,1.0,0.0,0.0,1.0
Zeuxia erythraea,2022,04Jun2022,CAS0000071,1.0,0.0,1.0,0.0
Dexia rustica,2022,03Nov2022,CAS0000072,0.0,0.0,1.0,1.0
Dexia rustica,2022,03Nov2022,CAS0000073,0.0,1.0,1.0,0.0
Dexia rustica,2022,03Nov2022,CAS0000074,0.0,0.0,1.0,1.0
