total_volume,volume_head,volume_thorax,volume_abdomen,total_length,length_head,length_thorax,length_abdomen,file_name
0.396,0.093,0.17,0.133,4.571,1.049,1.258,1.971,CAS002_CAS0000152_stacked_01_H
0.263,0.08,0.117,0.066,4.227,1.047,1.241,1.551,CAS001_CAS0000004_stacked_01_H
1.336,0.249,0.315,0.772,10.321,2.178,2.935,4.45,CAS001_CAS0000070_stacked_02_H
0.905,0.007,0.238,0.66,7.003,0.771,2.377,3.727,CAS001_CAS0000028_stacked_03_H
0.228,0.035,0.115,0.078,4.148,0.723,1.104,1.675,CAS002_CAS0000126_stacked_02_H
0.488,0.073,0.142,0.273,5.697,0.993,1.411,2.404,CAS001_CAS0000016_stacked_02_H
0.206,0.065,0.085,0.056,3.456,0.761,0.634,1.49,CAS002_CAS0000140_stacked_02_H
0.242,0.069,0.059,0.114,4.322,0.872,1.11,1.943,CAS002_CAS0000134_stacked_01_H
0.392,0.081,0.179,0.132,4.675,1.115,1.287,1.716,CAS001_CAS0000088_stacked_02_H
0.483,0.168,0.062,0.253,6.763,1.551,1.055,2.916,CAS001_CAS0000062_stacked_01_H
0.213,0.054,0.129,0.03,4.269,1.175,1.136,1.214,CAS002_CAS0000128_stacked_01_H
0.187,0.048,0.03,0.109,4.228,0.776,1.009,1.94,CAS001_CAS0000094_stacked_02_H
0.257,0.065,0.144,0.048,4.41,0.89,1.173,0.809,CAS001_CAS0000030_stacked_01_H
0.436,0.107,0.141,0.188,4.136,1.214,0.911,1.29,CAS001_CAS0000044_stacked_02_H
0.541,0.105,0.041,0.395,7.993,1.613,1.32,2.933,CAS001_CAS0000052_stacked_03_H
0.115,0.07,0.03,0.015,3.931,1.01,1.01,1.046,CAS002_CAS0000112_stacked_02_H
0.766,0.177,0.26,0.329,9.384,1.636,2.927,4.218,CAS001_CAS0000022_stacked_02_H
0.329,0.073,0.18,0.076,4.102,0.828,1.618,1.468,CAS001_CAS0000086_stacked_01_H
0.415,0.186,0.229,,2.107,0.889,1.16,,CAS002_CAS0000100_stacked_01_H
0.102,0.068,0.011,0.023,4.638,1.149,1.106,1.234,CAS001_CAS0000018_stacked_01_H
1.851,0.216,0.507,1.128,9.205,1.267,3.209,4.307,CAS001_CAS0000056_stacked_01_H
1.814,0.257,0.617,0.94,10.477,1.634,3.845,4.518,CAS001_CAS0000075_stacked_02_H
0.248,0.068,0.139,0.041,3.954,1.016,0.508,1.197,CAS002_CAS0000123_stacked_02_H
0.253,0.059,0.13,0.064,4.795,1.188,1.188,1.76,CAS002_CAS0000119_stacked_01_H
0.373,0.026,0.13,0.217,4.58,0.336,1.513,2.647,CAS001_CAS0000001_stacked_01_H
0.208,0.041,0.099,0.068,4.25,0.819,1.404,1.755,CAS002_CAS0000131_stacked_01_H
0.526,0.192,0.129,0.205,9.873,1.811,0.272,3.623,CAS001_CAS0000029_stacked_01_H
0.847,0.237,0.249,0.361,6.059,1.501,1.668,2.668,CAS001_CAS0000067_stacked_01_H
0.337,0.1,0.097,0.14,3.541,1.072,0.812,1.462,CAS001_CAS0000013_stacked_02_H
0.262,0.075,0.093,0.094,4.804,1.014,1.146,2.027,CAS002_CAS0000145_stacked_02_H
1.485,0.109,0.409,0.967,9.879,1.178,3.263,5.076,CAS001_CAS0000005_stacked_03_H
0.604,0.193,0.239,0.172,5.934,1.307,1.906,2.396,CAS001_CAS0000041_stacked_02_H
0.779,0.188,0.174,0.417,10.054,1.845,2.583,5.258,CAS001_CAS0000019_stacked_03_H
0.193,0.093,,0.1,4.334,0.875,,1.749,CAS002_CAS0000153__stacedk_01_H
0.181,0.062,0.087,0.032,3.991,0.879,1.172,1.282,CAS002_CAS0000117_stacked_02_H
0.296,0.05,0.148,0.098,4.451,0.817,0.735,1.674,CAS001_CAS0000091_stacked_02_H
2.566,0.276,0.436,1.854,10.761,1.678,2.369,4.936,CAS001_CAS0000035_stacked_01_H
0.097,0.064,0.019,0.014,3.511,0.998,0.87,0.676,CAS002_CAS0000105_stacked_01_H
1.58,0.193,0.498,0.889,9.389,1.464,3.101,4.652,CAS001_CAS0000053_stacked_01_H
