total_volume,volume_head,volume_thorax,volume_abdomen,total_length,length_head,length_thorax,length_abdomen,file_name
0.4,0.1,0.2,0.1,4.6,0.8,1.5,1.8,CAS003_CAS0000207_stacked_02_H
0.6,0.1,0.2,0.3,5.8,0.9,1.5,2.5,CAS003_CAS0000249_stacked_02_H
0.3,0.1,0.1,0.1,4.4,0.9,0.8,1.8,CAS005_CAS0000412_stacked_01_H
0.5,0.0,0.2,0.3,4.6,0.8,0.7,2.2,CAS005_CAS0000388_stacked_01_H
0.3,0.1,0.1,0.1,3.9,0.8,1.2,1.3,CAS003_CAS0000211_stacked_03_H
0.4,0.1,0.1,0.2,4.7,1.5,0.8,2.0,CAS002_CAS0000182_stacked_01_H
0.4,0.1,0.2,0.1,5.2,1.2,1.2,1.4,CAS002_CAS0000168_stacked_02_H
0.2,0.1,0.1,0.0,4.0,1.0,0.7,1.5,CAS004_CAS0000314_stacked_02_H
0.3,0.1,0.1,0.1,5.7,0.9,1.3,2.2,CAS003_CAS0000273_stacked_01_H
0.3,,0.1,0.2,3.3,,1.2,2.0,CAS004_CAS0000296_stacked_02_H
0.3,0.0,0.1,0.1,5.0,0.7,1.4,2.4,CAS004_CAS0000372_stacked_02_H
0.2,0.0,0.1,0.1,4.8,0.9,1.3,2.0,CAS005_CAS0000400_stacked_02_H
0.5,0.1,0.2,0.1,6.7,1.4,2.2,2.8,CAS003_CAS0000215_stacked_01_H
0.6,0.2,0.4,,1.4,0.6,0.7,,CAS004_CAS0000348_stacked_01_H
0.4,0.1,0.1,0.2,5.0,0.9,1.5,2.2,CAS003_CAS0000261_stacked_02_H
0.3,0.0,0.1,0.1,4.5,0.7,1.4,2.2,CAS003_CAS0000192_stacked_01_H
0.2,0.1,0.0,0.1,4.5,0.8,1.4,2.0,CAS004_CAS0000306_stacked_01_H
0.1,0.1,0.0,0.1,5.1,1.1,1.4,2.1,CAS002_CAS0000190_stacked_02_H
0.3,0.0,0.2,0.0,4.5,0.9,1.6,1.7,CAS004_CAS0000354_stacked_01_H
0.2,0.1,0.1,0.1,4.4,0.9,0.8,2.1,CAS002_CAS0000166_stacked_01_H
0.3,0.1,0.1,0.1,3.8,0.8,1.4,1.2,CAS003_CAS0000233_stacked_02_H
0.5,,0.3,0.3,4.8,,1.9,2.5,CAS003_CAS0000247_stacked_01_H
0.4,0.1,0.1,0.2,4.8,0.8,1.6,2.3,CAS003_CAS0000209_stacked_01_H
0.3,,0.2,0.1,3.3,,1.0,1.8,CAS003_CAS0000285_stacked_02_H
0.3,0.1,0.1,0.1,3.6,0.6,1.2,1.5,CAS002_CAS0000174_stacked_02_H
0.3,0.1,0.1,0.1,4.4,1.2,1.1,1.1,CAS004_CAS0000308_stacked_02_H
